RefSeq_accession_number,gene_symbol,gene_name,AO_A12D,C8_A131,BH_A18Q,C8_A130,C8_A138,E2_A154,C8_A12L,A2_A0EX,A7_A0CE,AN_A04A
NP_001243100,NA,zinc finger protein 85 isoform c,0,0,-7,1,-4,-9.65,0,0,0,0
NP_009180,KLF12,Krueppel-like factor 12,0,0,-10,1,1,-6.95,0.46,2.04,0,0
NP_699194,NA,zinc finger protein 679,0,0,-4,1,-1,-0.47,0.48,2.04,0,0
NP_003700,KLF7,Krueppel-like factor 7 isoform 1,3,2,-13,2,1,-4.02,0,0,0,0
NP_060913,ZNF302,zinc finger protein 302,0,0,-4,-2,0,0,0,0,0,0
NP_067678,ZNF500,zinc finger protein 500,0,0,0,0,3,-9.22,0,0,0,0
NP_003421,ZNF91,zinc finger protein 91,-1,-1,-4,-1,2,-5.79,0,0,0,0
NP_057354,KLF2,Krueppel-like factor 2,0,2,-8,0,1,-1.09,0,0,0,0
NP_001291,KLF6,Krueppel-like factor 6 isoform A,3,2,-15,1,1,-4.02,0,0,0,0
NP_872439,ZNF713,zinc finger protein 713,0,0,-6,2,-1,-0.24,0.48,2.04,0,0
NP_872296,ZNF227,zinc finger protein 227,0,0,-8,3,-2,-0.6,0,0,0,0
NP_001229291,NA,melanoma-associated antigen D4 isoform 3,2,-1,-1,1,1,-2.02,0,0,0,0
NP_001164209,IQSEC3,IQ motif and SEC7 domain-containing protein 3 isoform 1,-1,-1,-3,4,0,-5.22,0.1,2.02,0,0
NP_056047,IQSEC3,IQ motif and SEC7 domain-containing protein 3 isoform 2,-1,-1,-3,4,0,-5.22,0.1,2.02,0,0
NP_008981,PTPRT,receptor-type tyrosine-protein phosphatase T isoform 2 precursor,0,0,1,-1,0,0,-0.22,0.26,0,0
NP_219491,GZMH,granzyme H isoform 1 precursor,-3,-3,2,0,-1,-3.35,-0.33,-1.3,0,0
NP_004122,GZMB,granzyme B precursor,0,0,2,0,0,0,0,0,0,0
NP_001182359,NA,serine/threonine-protein kinase DCLK1 isoform 4,1,1,-3,-3,-1,-1.99,0,0,0,0
NP_001138608,NA,"carnitine O-palmitoyltransferase 1, muscle isoform isoform d",0,0,0,0,1,-2.67,2.02,-0.69,0,0
NP_001073917,EPHA6,ephrin type-A receptor 6 isoform a,1,1,3,0,-2,-1.51,0.68,1.02,0,0
NP_004678,MTMR4,myotubularin-related protein 4,0,0,-4,1,0,0,0,0,0,0
NP_002730,PRKCG,protein kinase C gamma type,0,1,1,-1,-1,-2.79,0.32,2.11,0,0
NP_004377,NCAN,neurocan core protein precursor,0,0,6,1,0,0,0,0,0,0
NP_060681,RAVER2,ribonucleoprotein PTB-binding 2,-2,-2,0,0,-1,-2.04,-0.67,-0.87,0,0
NP_001136438,GREB1L,GREB1-like protein,0,0,-12,0,3,-5.82,-0.7,0.3,0,0
NP_542411,COL11A2,collagen alpha-2(XI) chain isoform 1 preproprotein,0,0,-6,0,0,-3.87,0.36,2.81,0,0
NP_064693,ABCC9,ATP-binding cassette sub-family C member 9 isoform SUR2B,1,2,-4,-2,0,-8.46,1.55,1.86,0,0
NP_000343,ABCC8,ATP-binding cassette sub-family C member 8,-1,5,-4,-2,-3,-7.18,1.55,1.86,0,0
NP_000044,ATP7B,copper-transporting ATPase 2 isoform a,0,0,0,0,5,0.29,-1.67,-2.35,0,0
NP_001241647,NA,"myosin-binding protein C, slow-type isoform 5",0,4,-4,1,0,0,-1.16,7.41,0,0
NP_001241652,NA,"myosin-binding protein C, slow-type isoform 10",0,4,-4,1,0,0,-1.16,7.62,0,0
XP_003960526,NA,PREDICTED: poly(ADP-ribose) glycohydrolase-like,-1,0,-3,2,0,-2.17,1.51,-0.12,0,0
NP_065962,PLXNA4,plexin-A4 isoform 1 precursor,0,0,-1,1,0,0,0.66,-0.85,0,0
NP_065815,CASKIN1,caskin-1,-1,0,0,0,-2,0.41,-1.11,0.6,0,0
NP_976224,SHC4,SHC-transforming protein 4,1,1,0,1,-2,3.61,0,0,0,0
NP_064553,PAK6,serine/threonine-protein kinase PAK 6 isoform 1,4,-1,-2,2,0,2.13,-0.54,0.04,0,0
NP_114123,ANGPTL6,angiopoietin-related protein 6 precursor,0,0,-1,0,-3,-3.28,1.47,2.51,0,0
NP_056127,KIAA1109,uncharacterized protein KIAA1109,3,1,-1,-1,1,-3.21,-1.2,-1.88,0,0
NP_002369,MATK,megakaryocyte-associated tyrosine-protein kinase isoform b,-5,0,2,1,-2,1.25,-0.5,-0.24,0,0
NP_647611,MATK,megakaryocyte-associated tyrosine-protein kinase isoform c,-5,0,2,1,-2,1.25,-0.5,-0.24,0,0
NP_055735,ICK,serine/threonine-protein kinase ICK,0,1,-2,1,-1,1.51,3.32,-0.08,0,0
NP_001229314,NA,serine/threonine-protein kinase MAK isoform 2,-3,2,3,1,0,0.26,2.03,-0.02,0,0
NP_005347,LCK,tyrosine-protein kinase Lck precursor,0,3,2,1,0,-1.1,1.55,0.38,0,0
NP_036348,MID2,probable E3 ubiquitin-protein ligase MID2 isoform 1,0,3,-3,1,1,1.09,-1.41,0.44,0,0
NP_002632,PIGA,phosphatidylinositol N-acetylglucosaminyltransferase subunit A isoform 1,-3,1,0,0,-1,1.54,2.49,-0.05,0,0
NP_065206,NA,phosphatidylinositol N-acetylglucosaminyltransferase subunit A isoform 3,-3,1,0,0,-1,1.54,2.09,-0.41,0,0
NP_612477,ICA1L,islet cell autoantigen 1-like protein isoform 1,0,0,-8,-1,1,-4.39,1.31,1.21,0,0
NP_001078837,ZNF655,zinc finger protein 655 isoform f,0,0,-3,0,1,0.66,0,0,0,0
NP_001243582,NA,zinc finger protein 43 isoform 3,0,0,-7,1,2,-5.79,0,0,0,0
NP_940859,ZNF600,zinc finger protein 600,0,0,-4,1,-1,-3.61,0.59,0.79,0,0
NP_056936,ZNF117,zinc finger protein 117,5,1,-7,-1,-1,-3.39,0,0,0,0
NP_001070146,ZNF493,zinc finger protein 493 isoform 3,0,0,-4,-1,-1,-4.08,0.37,2.05,0,0
NP_689839,ZNF92,zinc finger protein 92 isoform 2,0,0,-4,1,-1,-0.47,0.48,2.04,0,0
NP_001166142,NA,zinc finger protein 430 isoform 2,5,1,-11,1,1,-5.87,0,0,0,0
NP_689570,ZNF440,zinc finger protein 440,-2,1,-3,1,-1,-4.9,-0.46,-1.76,0,0
NP_112234,ZNF611,zinc finger protein 611 isoform a,2,0,1,0,-1,-4.04,1.24,-0.52,0,0
NP_666019,ZSCAN21,zinc finger and SCAN domain-containing protein 21,0,0,0,0,0,0,0,0,0,0
NP_055532,ZNF536,zinc finger protein 536,0,0,0,0,-1,-0.12,-4.45,-0.09,0,0
NP_001129971,ZNF841,zinc finger protein 841,0,0,-3,2,0,-0.47,0.43,1.64,0,0
NP_001229609,NA,zinc finger protein 729,2,-1,-2,1,-1,-0.47,0.43,1.64,0,0
NP_597730,ZNF431,zinc finger protein 431,0,0,-7,1,2,-5.79,0,0,0,0
NP_872415,ZNF677,zinc finger protein 677,0,0,-1,1,-1,0,0.44,1.14,0,0
NP_075461,NA,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform 2,-1,5,-5,-2,0,-0.35,0,0,0,0
XP_003960990,NA,PREDICTED: voltage-dependent N-type calcium channel subunit alpha-1B-like,-1,1,0,0,0,-1.12,-0.99,1.06,0,0
NP_671704,HS6ST2,heparan-sulfate 6-O-sulfotransferase 2 isoform S,0,0,-5,1,0,0,0,0,0,0
NP_057317,PADI3,protein-arginine deiminase type-3,-4,6,-5,-3,-6,-5.17,1.89,-6.12,0,0
NP_689588,KLHDC7A,kelch domain-containing protein 7A,0,0,-2,0,-2,-0.94,0,0,0,0
NP_060825,ZNF415,zinc finger protein 415 isoform 2,0,0,-6,3,-1,-0.47,0.48,2.04,0,0
NP_005158,PPM1J,protein phosphatase 1J,-2,-1,-1,-2,0,2.9,-1.06,-0.87,0,0
NP_055795,STXBP5L,syntaxin-binding protein 5-like,0,2,-1,0,-1,-3.76,-0.29,-0.59,0,0
NP_653232,ZNF513,zinc finger protein 513 isoform 1,0,0,-8,3,1,-7.84,0,0,0,0
NP_005260,GLI1,zinc finger protein GLI1 isoform 1,2,1,-7,3,-3,-0.55,-0.03,0.66,0,0
NP_001229825,NA,DEP domain-containing protein 5 isoform 4,0,1,0,0,0,0.03,-0.51,0.26,0,0
NP_001229826,NA,DEP domain-containing protein 5 isoform 5,0,1,0,0,0,0.03,-0.51,0.26,0,0
NP_077816,ATP10A,probable phospholipid-transporting ATPase VA,0,-1,-2,-1,0,0,-0.91,1.35,0,0
NP_004785,RAB33A,ras-related protein Rab-33A,0,-2,-1,0,0,1.72,0.52,-1.28,0,0
NP_060382,HERC6,probable E3 ubiquitin-protein ligase HERC6 isoform 1,0,1,0,-1,0,-3.12,-1.32,-1.03,0,0
NP_065705,SENP7,sentrin-specific protease 7 isoform 1,0,-1,1,0,1,0.38,-0.77,0.54,0,0
NP_602304,RFX3,transcription factor RFX3 isoform b,0,3,1,-1,2,0.59,-0.62,0.7,0,0
NP_000626,RFX2,DNA-binding protein RFX2 isoform a,-1,4,-2,1,2,0.81,0.7,1.45,0,0
NP_003549,PIP5K1B,phosphatidylinositol 4-phosphate 5-kinase type-1 beta isoform 2,-1,-1,-1,-1,-1,0.72,-0.95,0.41,0,0
NP_001122401,ROBO2,roundabout homolog 2 isoform ROBO2a,-4,0,-2,0,3,-2.15,1.03,0.29,0,0
NP_001138612,NA,putative uncharacterized protein CXorf49,-5,-7,-7,-6,-8,-11.41,-5.54,-5.87,0,0
XP_003960877,NA,PREDICTED: uncharacterized protein CXorf49-like,-5,-9,-10,-3,-1,-10.06,-7.75,-7.13,0,0
NP_001092759,NA,SH3 domain-containing RING finger protein 3 precursor,0,0,-1,0,0,0.04,2.01,3.28,0,0
NP_059127,PRKAG3,5'-AMP-activated protein kinase subunit gamma-3,0,0,-3,-2,4,-0.55,1.53,2.96,0,0
NP_689567,NA,zinc finger protein 285,0,0,-6,3,1,-7.84,0,0,0,0
NP_001123468,ZNF222,zinc finger protein 222 isoform 1,0,0,-8,3,1,-7.84,0,0,0,0
NP_065858,ZNF319,zinc finger protein 319,0,0,-8,3,1,-7.84,-3.54,-3.67,0,0
NP_037530,NA,zinc finger protein 224,0,3,-2,1,0,-6.18,0,0,0,0
NP_689650,ZNF664,zinc finger protein 664,0,0,-4,1,1,-2.35,0.25,-0.29,0,0
NP_852466,ZNF445,zinc finger protein 445,0,-1,-5,2,-1,-0.47,0.43,1.64,0,0
NP_079017,ZNF408,zinc finger protein 408 isoform 1,0,0,0,0,0,0,0,0,0,0
NP_203747,SSH2,protein phosphatase Slingshot homolog 2,-1,2,-1,1,1,0.08,0.8,-0.31,0,0
NP_001104777,PDE4A,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A isoform 1",0,0,2,-2,0,1.47,0.29,-0.2,0,0
NP_001184151,NA,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D isoform PDE4D1",-2,-2,1,-3,-1,1.28,-1.21,0.11,0,0
NP_000914,PDE4C,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C isoform PDE4C1",0,0,2,-2,-1,2.63,-3.51,0.51,0,0
NP_003288,NR2C1,nuclear receptor subfamily 2 group C member 1 isoform a,0,0,2,1,-2,-7.92,0,0,0,0
NP_113649,CRISPLD1,cysteine-rich secretory protein LCCL domain-containing 1 precursor,0,0,1,-2,-4,-6.49,-4.36,-2.36,0,0
NP_061834,NA,ubiquitin-associated and SH3 domain-containing protein A isoform 1,0,0,-9,-1,1,1.71,0,0,0,0
NP_001171953,NA,probable palmitoyltransferase ZDHHC8 isoform 1,0,0,-5,1,1,-5.76,0,0,0,0
NP_001186016,NA,cytosolic 5'-nucleotidase 1B isoform 4,0,0,0,0,3,-7.65,0,0,0,0
NP_003911,TIMELESS,protein timeless homolog,-3,1,1,0,0,-0.82,0.17,-1.72,0,0
NP_003052,SLIT1,slit homolog 1 protein precursor,1,-4,0,0,0,0,-1.87,1.91,0,0
NP_001412,ELF4,ETS-related transcription factor Elf-4,-1,-1,0,0,1,-0.74,0.78,2.13,0,0
NP_004077,COCH,cochlin precursor,0,0,3,-1,0,0,3.34,-0.36,0,0
NP_005814,MSLN,mesothelin isoform 1 preproprotein,0,0,0,0,-2,-1.3,0,0,0,0
NP_037536,MSLN,mesothelin isoform 2 preproprotein,0,0,0,0,-2,-1.3,0,0,0,0
NP_000430,PCSK1,neuroendocrine convertase 1 isoform 1 preproprotein,-1,-1,0,0,-1,0.16,0,0,0,0
NP_005155,ABCD2,ATP-binding cassette sub-family D member 2,3,1,-6,-1,1,-1.42,0.83,-0.28,0,0
NP_001660,ARSD,arylsulfatase D precursor,0,0,-1,-1,3,-0.43,-1.36,-1.88,0,0
NP_001011719,ARSH,arylsulfatase H,0,0,-3,1,-3,-5.78,0,0,0,0
NP_000038,ARSE,arylsulfatase E precursor,0,0,-1,2,0,0,0,0,0,0
NP_005432,CHAF1B,chromatin assembly factor 1 subunit B,-2,0,1,2,-2,0.11,1.46,-1.86,0,0
NP_001034669,MAP9,microtubule-associated protein 9,0,0,-2,1,-2,-1.03,1.37,-0.1,0,0
NP_056509,ZNF777,zinc finger protein 777,0,-2,0,2,0,-6.49,3.54,1.3,0,0
NP_741996,SALL3,sal-like protein 3,0,-2,-7,-3,0,0,0,0,0,0
NP_002959,SALL1,sal-like protein 1 isoform a,0,-2,-5,0,-6,-6.94,0,0,0,0
NP_002664,PLXNB1,plexin-B1 precursor,1,1,-6,0,1,-1.31,-0.76,1.17,0,0
NP_001156729,PLXNB3,plexin-B3 isoform 2,2,0,0,0,0,0,2.02,-0.9,0,0
NP_955352,PHF17,protein Jade-1 long isoform,0,0,-5,0,0,0,-2.63,-0.91,0,0
NP_659434,FLCN,folliculin isoform 1,0,0,-2,1,1,-0.51,-0.32,0.73,0,0
NP_997242,GADL1,glutamate decarboxylase-like protein 1,0,0,-6,-3,0,0,-1.74,4.18,0,0
NP_203748,ZC3H12C,probable ribonuclease ZC3H12C,-1,1,1,0,-1,0.1,0.58,0.29,0,0
NP_001010888,NA,probable ribonuclease ZC3H12B,-3,-3,2,1,1,0.69,-0.59,-1.48,0,0
NP_001129508,ZNF692,zinc finger protein 692 isoform 1,0,0,0,0,0,0,-1.04,-1.99,0,0
NP_055387,LATS2,serine/threonine-protein kinase LATS2,0,0,1,1,0,2.03,-0.88,-0.45,0,0
NP_055880,EXPH5,exophilin-5,2,1,0,-1,2,0.23,1.75,-0.36,0,0
NP_056135,ARHGEF4,rho guanine nucleotide exchange factor 4 isoform a,-1,0,3,0,1,-1.77,-1.58,-2.14,0,0
NP_001080,ABCA3,ATP-binding cassette sub-family A member 3,-2,0,0,-2,0,0.76,-0.31,0.72,0,0
NP_061985,ABCA7,ATP-binding cassette sub-family A member 7,0,2,2,0,0,-6.97,-4.53,-2.15,0,0
NP_659436,LRRC45,leucine-rich repeat-containing protein 45,0,-1,0,1,1,0.52,0.79,0.13,0,0
NP_775751,ZNF57,zinc finger protein 57,4,2,-2,1,0,0,-1.41,0.05,0,0
NP_659413,ZNF564,zinc finger protein 564,0,0,-5,2,0,0,-0.46,-2.71,0,0
NP_003595,IRS4,insulin receptor substrate 4,0,0,-1,5,0,0,1.11,-1.2,0,0
NP_056970,PI15,peptidase inhibitor 15 preproprotein,0,6,0,0,0,0,0,0,0,0
NP_115528,NA,PML-RARA-regulated adapter molecule 1,0,1,-2,-1,-1,-2.89,0.62,-0.68,0,0
NP_002640,PIK3CG,"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",0,3,1,0,-1,-0.31,-0.92,-0.23,0,0
NP_079521,PBX4,pre-B-cell leukemia transcription factor 4,1,-3,5,-2,0,0.68,-2.67,2.75,0,0
NP_997244,FREM2,FRAS1-related extracellular matrix protein 2 precursor,0,0,0,0,3,1.22,-0.25,3.07,0,0
NP_001035784,INCENP,inner centromere protein isoform 1,-1,1,-1,1,-1,-1.57,0.65,-3.97,0,0
NP_001265576,NA,zinc finger and BTB domain-containing protein 48,7,6,-8,0,1,-4.25,-1.04,1.44,0,0
NP_937872,RGS12,regulator of G-protein signaling 12 isoform 1,0,-1,-3,0,-1,0.45,0.03,-0.35,0,0
NP_001011543,NA,melanoma-associated antigen 10,0,0,11,0,0,0,-5.95,-6.55,0,0
NP_004979,MAGEA1,melanoma-associated antigen 1,0,0,8,0,0,0,-5.95,-6.55,0,0
NP_001159872,MAGEA8,melanoma-associated antigen 8,0,0,8,0,0,0,-2.81,-2.53,0,0
NP_001258975,NA,von Willebrand factor A domain-containing protein 2 precursor,0,1,-2,2,-1,0.32,-0.35,-0.84,0,0
NP_055646,NA,TPR and ankyrin repeat-containing protein 1,2,2,-2,0,-2,0.14,-1.33,-1.24,0,0
NP_116161,ZNF503,zinc finger protein 503,1,1,-2,0,-1,1.69,0.02,2.12,0,0
NP_001123357,CPSF4L,putative cleavage and polyadenylation specificity factor subunit 4-like protein,0,0,0,0,0,0,0,0,0,0
NP_872293,OLFML2A,olfactomedin-like protein 2A precursor,0,1,-1,2,3,-0.06,-2.62,2.75,0,0
NP_001002294,FMO3,dimethylaniline monooxygenase,0,0,4,0,0,0,-0.84,2.93,0,0
NP_003456,CHIT1,chitotriosidase-1 isoform 1 precursor,0,0,-1,-3,0,0,0,0,0,0
NP_001138582,NELL2,protein kinase C-binding protein NELL2 isoform d,1,2,-1,0,4,-1.22,0.02,2.42,0,0
NP_612486,CDAN1,codanin-1,-2,-2,-1,0,3,-0.39,-1.15,0.23,0,0
NP_208382,DCLK3,serine/threonine-protein kinase DCLK3,0,0,0,0,0,0,1.02,3.64,0,0
NP_002370,MATN1,cartilage matrix protein precursor,0,0,4,0,2,2.74,0,0,0,0
NP_000594,NOS3,"nitric oxide synthase, endothelial isoform 1",0,1,0,1,1,0.77,-1.54,-1.07,0,0
NP_004848,AKAP5,A-kinase anchor protein 5,-1,-1,-3,-2,1,-2.69,-1.9,-0.3,0,0
NP_694942,USP43,ubiquitin carboxyl-terminal hydrolase 43 isoform 1,-1,1,-1,-1,1,-1.95,-1.97,1.67,0,0
NP_003148,NEK4,serine/threonine-protein kinase Nek4 isoform 1,0,1,0,2,1,-0.17,-0.39,-0.81,0,0
NP_115813,EFCAB7,EF-hand calcium-binding domain-containing protein 7,0,0,-2,0,0,-1.6,0.32,1.25,0,0
NP_001003681,HMGXB4,HMG domain-containing protein 4,-1,0,0,1,0,0.46,0.04,-0.45,0,0
NP_037359,ACAN,aggrecan core protein isoform 2 precursor,-2,-1,-1,0,-1,-2.01,-2.62,1.2,0,0
NP_116575,NA,regulator of telomere elongation helicase 1 isoform 2,0,0,-1,3,0,-0.91,0.58,-0.74,0,0
NP_000036,ARG1,arginase-1 isoform 2,-1,7,-6,-4,1,-6.07,-1.48,-0.84,0,0
NP_001185787,NA,"HLA class II histocompatibility antigen, DQ beta 2 chain precursor",0,0,0,0,3,0.2,0,0,0,0
NP_710163,FOLH1B,putative N-acetylated-alpha-linked acidic dipeptidase,0,0,1,-2,-1,3.56,0,0,0,0
NP_001182572,NA,"dihydrofolate reductase, mitochondrial",1,0,2,1,-2,-5.59,-1.34,-1.76,0,0
NP_056006,SIK2,serine/threonine-protein kinase SIK2,0,1,2,-1,1,2.33,0.16,-0.36,0,0
NP_115810,ZNF512,zinc finger protein 512 isoform a,0,4,-2,1,-1,-1.56,1.1,2,0,0
NP_006328,MCRS1,microspherule protein 1 isoform 1,0,1,0,0,1,-0.53,-0.05,0.18,0,0
NP_000132,FGFR2,fibroblast growth factor receptor 2 isoform 1 precursor,0,0,2,1,0,2.43,2.03,-0.02,0,0
NP_001138385,FGFR2,fibroblast growth factor receptor 2 isoform 3 precursor,0,0,2,1,0,1.81,2.03,-0.02,0,0
NP_001138387,FGFR2,fibroblast growth factor receptor 2 isoform 5 precursor,2,0,2,1,0,2.12,2.03,-0.02,0,0
NP_001167538,NA,fibroblast growth factor receptor 1 isoform 14 precursor,-3,2,0,0,0,0.64,2.03,-0.02,0,0
NP_002002,FGFR4,fibroblast growth factor receptor 4 isoform 1 precursor,-3,2,2,1,0,1.22,3.32,-0.08,0,0
NP_001968,ENPEP,glutamyl aminopeptidase,0,0,1,0,1,0.45,-0.18,-1.15,0,0
NP_620048,BCL2L14,apoptosis facilitator Bcl-2-like protein 14 isoform 1,0,4,1,-2,-3,-1.22,-1.97,1.4,0,0
NP_444511,DACH2,dachshund homolog 2 isoform a,-2,0,-5,-3,-8,-6,-1.95,-1.03,0,0
NP_060255,CCDC99,protein Spindly,0,0,-5,-1,1,-0.63,-1.53,-0.41,0,0
NP_056410,SGEF,rho guanine nucleotide exchange factor 26 isoform 1,-2,0,-2,1,0,0.8,-2.69,-1.64,0,0
NP_002832,PTPRG,receptor-type tyrosine-protein phosphatase gamma,0,0,1,-1,0,0.9,-0.89,0.77,0,0
NP_001003818,NA,tripartite motif-containing protein 6 isoform 1,4,2,0,0,0,0,-7.16,-1.53,0,0
NP_056471,KIF26A,kinesin-like protein KIF26A,0,0,-9,2,4,-7.61,-6.34,-6.12,0,0
NP_059116,SIX4,homeobox protein SIX4,0,1,-1,0,1,0.05,-2.31,0.01,0,0
NP_787071,SIX5,homeobox protein SIX5,0,0,-1,1,1,-0.38,-1.18,0.55,0,0
NP_079021,SHCBP1,SHC SH2 domain-binding protein 1,-1,1,1,0,0,-1.87,3.51,-0.83,0,0
NP_001138785,FSD1L,FSD1-like protein isoform 3,-2,-1,-1,1,0,0,1.31,-0.16,0,0
NP_003834,SCEL,sciellin isoform 2,4,2,-2,0,3,-1.8,3.84,0.2,0,0
NP_659001,SCEL,sciellin isoform 1,4,2,-3,-1,3,-1.8,3.94,0.2,0,0
NP_001154178,SCEL,sciellin isoform 3,4,2,-3,-1,3,-1.8,3.94,0.2,0,0
NP_002654,PLD2,phospholipase D2 isoform PLD2A,2,1,0,-1,2,-0.38,-0.37,0.5,0,0
NP_009101,TESK2,dual specificity testis-specific protein kinase 2,0,0,0,-1,0,0,-0.77,0.53,0,0
NP_056346,C2CD3,C2 domain-containing protein 3,0,0,-2,0,0,0.87,0,0,0,0
NP_079469,NA,3 beta-hydroxysteroid dehydrogenase type 7 isoform a,0,0,-2,-1,1,0.63,0.08,-1.22,0,0
NP_004713,AP4M1,AP-4 complex subunit mu-1,0,0,-1,0,1,-0.02,1.33,0.35,0,0
NP_003991,CHI3L2,chitinase-3-like protein 2 isoform a precursor,0,0,5,-3,0,0,6.64,0.44,0,0
NP_001062,TYMS,thymidylate synthase,-1,5,1,0,0,-0.62,0.11,-2.77,0,0
NP_955469,PRDM10,PR domain zinc finger protein 10 isoform 2,0,0,-2,-1,0,-1.69,-0.6,-0.09,0,0
NP_001002837,INPP5J,"phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",0,-1,-5,0,-1,-1.12,-0.82,-0.27,0,0
NP_003234,TGFBR3,transforming growth factor beta receptor type 3 isoform a precursor,-4,-3,5,-1,-2,1.11,-3.51,-0.28,0,0
NP_848638,ENPP7,ectonucleotide pyrophosphatase/phosphodiesterase family member 7 precursor,0,0,1,0,0,0,0.57,-3.66,0,0
NP_000472,AMT,"aminomethyltransferase, mitochondrial isoform 1 precursor",0,0,-3,-1,1,-3.56,-0.64,-0.88,0,0
NP_001821,CLCN4,H(+)/Cl(-) exchange transporter 4 isoform 1,0,0,-3,-2,2,-2.57,0,0,0,0
NP_001006659,CR2,complement receptor type 2 isoform 1 precursor,0,0,0,0,-2,-7.87,-3.47,-1.01,0,0
NP_009014,NUDT6,nucleoside diphosphate-linked moiety X motif 6 isoform a,-1,0,-3,-1,-2,1.81,-2.89,-3.22,0,0
NP_001017970,TMEM30B,cell cycle control protein 50B,0,0,0,0,1,-5.72,0.1,-1.33,0,0
NP_001954,EGF,pro-epidermal growth factor isoform 1 preproprotein,0,0,-8,4,2,-7.96,1.91,0.02,0,0
NP_001121557,ASPA,aspartoacylase,-1,-2,0,-2,-2,1.63,-2.56,2,0,0
NP_037375,SCG3,secretogranin-3 isoform 1 precursor,0,0,1,0,1,-4.43,0,0,0,0
NP_001158729,SCG3,secretogranin-3 isoform 2,0,0,1,-1,-1,0.51,0,0,0,0
NP_001444,FOXC1,forkhead box protein C1,0,0,1,0,2,-6.62,0,0,0,0
NP_005242,FOXC2,forkhead box protein C2,0,0,2,0,0,0,0,0,0,0
NP_001078956,MYSM1,histone H2A deubiquitinase MYSM1,0,0,-1,1,0,-0.96,-1.22,0.26,0,0
NP_003591,NA,aurora kinase A,0,1,-2,0,1,-2.41,2.45,-1.78,0,0
NP_005679,ABCC5,multidrug resistance-associated protein 5 isoform 1,0,0,-3,0,5,-3.27,0,0,0,0
NP_001231191,NA,HMG box-containing protein 1 isoform 1,-1,-1,0,0,1,0.38,0.07,1.11,0,0
NP_038463,RAX,retinal homeobox protein Rx,1,1,1,1,1,6.26,0.36,4.34,0,0
NP_006483,ALX3,homeobox protein aristaless-like 3,1,1,1,0,1,4.8,0.36,4.34,0,0
NP_116142,RAX2,retina and anterior neural fold homeobox protein 2,1,1,2,1,1,6.26,0.36,4.34,0,0
NP_001073930,UNCX,homeobox protein unc-4 homolog,1,1,-12,1,2,-1.19,0.36,4.34,0,0
NP_008913,ALX1,ALX homeobox protein 1,1,1,2,1,1,6.26,0.36,4.34,0,0
NP_620689,ARX,homeobox protein ARX,1,1,-1,1,1,3.66,0.36,4.34,0,0
NP_005160,PHOX2A,paired mesoderm homeobox protein 2A,1,1,-1,1,1,3.66,0.36,4.34,0,0
NP_068745,ALX4,homeobox protein aristaless-like 4,1,1,2,1,1,6.26,0.36,4.34,0,0
NP_003021,SHOX2,short stature homeobox protein 2 isoform b,1,1,2,1,1,6.26,0.36,4.34,0,0
NP_001010904,NA,glycine N-acyltransferase-like protein 3,0,0,-1,-1,3,-0.8,0,0,0,0
NP_056040,PRUNE2,protein prune homolog 2,-1,2,0,0,1,1.06,-1.66,0.39,0,0
NP_001129277,SYT1,synaptotagmin-1,-1,-2,-7,-8,0,-3.71,-2.57,-3.49,0,0
NP_612508,PWWP2B,PWWP domain-containing protein 2B isoform 1,0,1,-1,0,1,-0.99,0,0,0,0
NP_612433,KIF12,kinesin-like protein KIF12,0,0,0,0,0,0,0,0,0,0
NP_060889,SOX18,transcription factor SOX-18,0,0,0,0,1,-10.63,0,0,0,0
NP_001034565,NPRL3,nitrogen permease regulator 3-like protein isoform 2,0,0,-1,-1,-2,1.63,-0.01,0.09,0,0
NP_964011,GLYAT,glycine N-acyltransferase isoform a,0,0,1,-2,0,0,0,0,0,0
NP_005613,ACSM3,"acyl-coenzyme A synthetase ACSM3, mitochondrial isoform 1",0,0,0,0,0,0,0,0,0,0
NP_004223,SOCS6,suppressor of cytokine signaling 6,0,0,-1,3,0,-2.15,0.49,0.08,0,0
NP_054740,SSX2IP,afadin- and alpha-actinin-binding protein isoform 1,0,-1,-4,-2,0,0,-1.75,-0.73,0,0
NP_071393,FKBPL,FK506-binding protein-like,1,1,-1,1,-1,-0.46,0.08,-0.02,0,0
NP_059105,HOXC10,homeobox protein Hox-C10,0,0,0,1,0,1.06,0.46,1.62,0,0
NP_061824,HOXA10,homeobox protein Hox-A10,-1,0,2,3,-1,4.87,0.46,4.61,0,0
NP_001163873,CDC20B,cell division cycle protein 20 homolog B isoform 3,0,0,0,0,7,1.57,0,0,0,0
NP_116145,HPDL,4-hydroxyphenylpyruvate dioxygenase-like protein,-1,2,-4,1,0,0,0,0,0,0
NP_940863,LONRF2,LON peptidase N-terminal domain and RING finger protein 2,0,0,0,0,-1,-4.35,0,0,0,0
NP_056327,DNAH1,"dynein heavy chain 1, axonemal",-3,1,-1,-1,2,-5.52,-3.05,-1.58,0,0
